DATE,ACMTP10,10year yield,Rolling mean 10yr,Standard dev,buy,sell,yield10,dy,position,pnl_bps,cum_pnl
1999-07-23,1.512360531,5.65,1.46001435,0.06329344,0.0,,5.65,-0.009999999999999787,0,-0.0,0.0
1999-07-26,1.488078175,5.66,1.461289978,0.062057182,0.0,,5.66,0.009999999999999787,0,0.0,0.0
1999-07-27,1.456944949,5.78,1.461101064,0.060637158,0.0,,5.78,0.1200000000000001,0,0.0,0.0
1999-07-28,1.430182938,5.84,1.459812809,0.059639179,0.0,,5.84,0.05999999999999961,0,0.0,0.0
1999-07-29,1.44121018,5.86,1.459068704,0.058501903,0.0,,5.86,0.020000000000000462,0,0.0,0.0
1999-07-30,1.49068332,5.82,1.46028465,0.057654275,0.0,,5.82,-0.040000000000000036,0,-0.0,0.0
1999-08-02,1.497351947,5.81,1.461657513,0.056982954,0.0,,5.81,-0.010000000000000675,0,-0.0,0.0
1999-08-03,1.470559378,5.88,1.461975437,0.055943058,0.0,,5.88,0.07000000000000028,0,0.0,0.0
1999-08-04,1.507332133,5.92,1.463539461,0.055576905,0.0,,5.92,0.040000000000000036,0,0.0,0.0
1999-08-05,1.517478017,5.92,1.465337413,0.055491091,0.0,,5.92,0.0,0,0.0,0.0
1999-08-06,1.545036437,5.95,1.467908349,0.056404967,0.0,,5.95,0.03000000000000025,0,0.0,0.0
1999-08-09,1.570219511,5.96,1.471105573,0.058360965,0.0,,5.96,0.009999999999999787,0,0.0,0.0
1999-08-10,1.608883738,5.88,1.475280669,0.062247906,1.0,,5.88,-0.08000000000000007,-1,800.0000000000007,800.0000000000007
1999-08-11,1.599901369,6.02,1.478945983,0.064916543,0.0,,6.02,0.13999999999999968,-1,-1399.9999999999968,-599.9999999999961
1999-08-12,1.685806334,6.13,1.484856279,0.072889078,1.0,,6.13,0.11000000000000032,-1,-1100.0000000000032,-1699.9999999999993
1999-08-13,1.603129504,6.16,1.488141647,0.074495596,0.0,,6.16,0.03000000000000025,-1,-300.0000000000025,-2000.0000000000018
1999-08-16,1.627369206,6.05,1.491904554,0.076937239,0.0,,6.05,-0.11000000000000032,-1,1100.0000000000032,-899.9999999999986
1999-08-17,1.580729726,6.08,1.494242058,0.077246268,0.0,,6.08,0.03000000000000025,-1,-300.0000000000025,-1200.0000000000011
1999-08-18,1.563030078,5.98,1.496005853,0.077014856,0.0,,5.98,-0.09999999999999964,-1,999.9999999999965,-200.00000000000466
1999-08-19,1.592346481,5.98,1.498414369,0.077532197,0.0,,5.98,0.0,-1,-0.0,-200.00000000000466
1999-08-20,1.55212196,5.89,1.49972431,0.077015027,0.0,,5.89,-0.09000000000000075,-1,900.0000000000075,700.0000000000028
1999-08-23,1.516551314,5.88,1.500124953,0.07611432,0.0,,5.88,-0.009999999999999787,-1,99.99999999999787,800.0000000000007
1999-08-24,1.528760073,5.9,1.500790886,0.075329416,0.0,,5.9,0.020000000000000462,-1,-200.0000000000046,599.9999999999961
1999-08-25,1.464899684,5.88,1.499975177,0.074644706,0.0,,5.88,-0.020000000000000462,-1,200.0000000000046,800.0000000000007
1999-08-26,1.435322947,5.89,1.498538461,0.074418321,0.0,,5.89,0.009999999999999787,-1,-99.99999999999787,700.0000000000028
1999-08-27,1.498081387,5.85,1.498528525,0.073586836,0.0,,5.85,-0.040000000000000036,-1,400.00000000000034,1100.0000000000032
1999-08-30,1.584512059,5.73,1.500357961,0.073855305,0.0,,5.73,-0.11999999999999922,-1,1199.9999999999923,2299.9999999999955
1999-08-31,1.614868156,5.75,1.502743591,0.074911477,0.0,,5.75,0.019999999999999574,-1,-199.99999999999574,2099.9999999999995
1999-09-01,1.636161017,5.85,1.505466395,0.076538147,0.0,,5.85,0.09999999999999964,-1,-999.9999999999965,1100.0000000000032
1999-09-02,1.704635465,5.95,1.509449777,0.08082018,1.0,,5.95,0.10000000000000053,-1,-1000.0000000000053,99.99999999999784
1999-09-03,1.628900269,5.98,1.511791943,0.081737607,0.0,,5.98,0.03000000000000025,-1,-300.0000000000025,-200.00000000000466
1999-09-07,1.69389951,5.99,1.515294012,0.084780829,1.0,,5.99,0.009999999999999787,-1,-99.99999999999787,-300.0000000000025
1999-09-08,1.690037103,6.03,1.518591051,0.087325237,0.0,,6.03,0.040000000000000036,-1,-400.00000000000034,-700.0000000000028
1999-09-09,1.71969757,5.89,1.522315246,0.090723623,1.0,,5.89,-0.14000000000000057,-1,1400.0000000000057,700.0000000000028
1999-09-10,1.675017655,,1.525091653,0.092208016,0.0,,,,-1,,
1999-09-13,1.706255397,5.95,1.52832672,0.09451882,0.0,,5.95,,-1,,
1999-09-14,1.771595558,5.93,1.532594595,0.099058144,1.0,,5.93,-0.020000000000000462,-1,200.0000000000046,900.0000000000075
1999-09-15,1.769673563,5.97,1.536682163,0.103002151,1.0,,5.97,0.040000000000000036,-1,-400.00000000000034,500.00000000000716
1999-09-16,1.715600987,5.89,1.539714685,0.104733457,0.0,,5.89,-0.08000000000000007,-1,800.0000000000007,1300.0000000000077
1999-09-17,1.663655208,5.92,1.541780361,0.105067602,0.0,,5.92,0.03000000000000025,-1,-300.0000000000025,1000.0000000000052
1999-09-20,1.684612749,5.96,1.544121875,0.105781182,0.0,,5.96,0.040000000000000036,-1,-400.00000000000034,600.0000000000049
1999-09-21,1.707155858,5.94,1.546751456,0.106934243,0.0,,5.94,-0.019999999999999574,-1,199.99999999999574,800.0000000000007
1999-09-22,1.710114062,5.9,1.549344513,0.108046779,0.0,,5.9,-0.040000000000000036,-1,400.00000000000034,1200.000000000001
1999-09-23,1.622081209,5.87,1.550481024,0.107570764,0.0,,5.87,-0.03000000000000025,-1,300.0000000000025,1500.0000000000034
1999-09-24,1.577865278,5.91,1.55090232,0.106781094,0.0,,5.91,0.040000000000000036,-1,-400.00000000000034,1100.0000000000032
1999-09-27,1.62109252,5.94,1.551965808,0.106308184,0.0,,5.94,0.03000000000000025,-1,-300.0000000000025,800.0000000000007
1999-09-28,1.694922034,5.92,1.554099483,0.10693558,0.0,,5.92,-0.020000000000000462,-1,200.0000000000046,1000.0000000000052
1999-09-29,1.732306236,5.87,1.556720171,0.108312361,0.0,,5.87,-0.04999999999999982,-1,499.99999999999824,1500.0000000000034
1999-09-30,1.664673885,5.75,1.558284717,0.108295628,0.0,,5.75,-0.1200000000000001,-1,1200.0000000000011,2700.0000000000045
1999-10-01,1.766896366,5.83,1.561264884,0.110361544,0.0,,5.83,0.08000000000000007,-1,-800.0000000000007,1900.0000000000039
1999-10-04,1.737863788,5.89,1.563752192,0.111556851,0.0,,5.89,0.05999999999999961,-1,-599.9999999999961,1300.0000000000077
1999-10-05,1.780570007,5.97,1.566763551,0.113677467,0.0,,5.97,0.08000000000000007,-1,-800.0000000000007,500.00000000000705
1999-10-06,1.710878781,5.9,1.568737732,0.114138495,0.0,,5.9,-0.0699999999999994,-1,699.999999999994,1200.000000000001
1999-10-07,1.694544984,6.0,1.57043783,0.114293571,0.0,,6.0,0.09999999999999964,-1,-999.9999999999965,200.00000000000443
1999-10-08,1.737644229,5.95,1.572667248,0.115148887,0.0,,5.95,-0.04999999999999982,-1,499.99999999999824,700.0000000000027
1999-10-12,1.744116906,6.02,1.574923165,0.116057107,0.0,,6.02,0.0699999999999994,-1,-699.999999999994,8.753886504564434e-12
1999-10-13,1.802499595,6.04,1.577878703,0.118172061,0.0,,6.04,0.020000000000000462,-1,-200.0000000000046,-199.99999999999585
1999-10-14,1.840308102,6.05,1.581243183,0.121104151,1.0,,6.05,0.009999999999999787,-1,-99.99999999999787,-299.99999999999375
1999-10-15,1.825898291,6.04,1.584340083,0.123433623,0.0,,6.04,-0.009999999999999787,-1,99.99999999999787,-199.99999999999588
1999-10-18,1.83620794,,1.587488431,0.125841043,0.0,,,,-1,,
1999-10-19,1.871433802,6.07,1.590993929,0.128970495,1.0,,6.07,,-1,,
1999-10-20,1.850308916,6.12,1.594156307,0.131331984,0.0,,6.12,0.04999999999999982,-1,-499.99999999999824,-699.9999999999941
